,train_ACC,train_F1,train_Recall,train_Pre,train_MCC,val_ACC,val_F1,val_Recall,val_Pre,val_MCC,test_ACC,test_F1,test_Recall,test_Pre,test_MCC
n_estimators2000 max_depth5 min_samples_leaf2 min_samples_split2 bootstrapTrue,0.9709 (0.00068),0.9707 (0.00069),0.9661 (0.00089),0.9754 (0.00059),0.9418 (0.00135),0.9645 (0.00051),0.9644 (0.00053),0.9614 (0.00133),0.9675 (0.00065),0.9291 (0.00101),0.9631 (0.00094),0.9628 (0.00095),0.9558 (0.00146),0.9699 (0.00118),0.9262 (0.00187)
n_estimators2000 max_depth5 min_samples_leaf2 min_samples_split3 bootstrapFalse,0.9711 (0.00074),0.9709 (0.00075),0.9662 (0.00115),0.9757 (0.00051),0.9422 (0.00147),0.9638 (0.00051),0.9637 (0.00053),0.9608 (0.00184),0.9666 (0.00139),0.9276 (0.00100),0.9625 (0.00058),0.9622 (0.00057),0.9549 (0.00110),0.9697 (0.00131),0.9251 (0.00116)
n_estimators2000 max_depth5 min_samples_leaf2 min_samples_split3 bootstrapTrue,0.9709 (0.00057),0.9708 (0.00057),0.9662 (0.00077),0.9754 (0.00061),0.9419 (0.00113),0.9646 (0.00067),0.9645 (0.00069),0.9613 (0.00125),0.9676 (0.00073),0.9292 (0.00134),0.9631 (0.00093),0.9628 (0.00095),0.9559 (0.00135),0.9698 (0.00116),0.9262 (0.00187)
n_estimators2000 max_depth5 min_samples_leaf2 min_samples_split5 bootstrapFalse,0.9710 (0.00067),0.9709 (0.00068),0.9661 (0.00101),0.9757 (0.00051),0.9421 (0.00134),0.9639 (0.00049),0.9638 (0.00053),0.9606 (0.00169),0.9670 (0.00090),0.9278 (0.00096),0.9625 (0.00062),0.9622 (0.00062),0.9549 (0.00110),0.9696 (0.00130),0.9250 (0.00126)
n_estimators2000 max_depth5 min_samples_leaf2 min_samples_split5 bootstrapTrue,0.9709 (0.00065),0.9707 (0.00066),0.9660 (0.00095),0.9754 (0.00050),0.9417 (0.00129),0.9646 (0.00062),0.9645 (0.00064),0.9613 (0.00126),0.9676 (0.00056),0.9292 (0.00123),0.9632 (0.00096),0.9629 (0.00097),0.9560 (0.00146),0.9699 (0.00108),0.9265 (0.00191)
n_estimators2000 max_depth5 min_samples_leaf5 min_samples_split2 bootstrapFalse,0.9704 (0.00078),0.9703 (0.00079),0.9655 (0.00101),0.9751 (0.00058),0.9409 (0.00156),0.9641 (0.00051),0.9640 (0.00053),0.9608 (0.00141),0.9672 (0.00096),0.9282 (0.00101),0.9626 (0.00056),0.9623 (0.00057),0.9553 (0.00106),0.9694 (0.00085),0.9252 (0.00111)
n_estimators2000 max_depth5 min_samples_leaf5 min_samples_split2 bootstrapTrue,0.9704 (0.00067),0.9703 (0.00068),0.9657 (0.00088),0.9749 (0.00069),0.9409 (0.00135),0.9646 (0.00056),0.9645 (0.00057),0.9613 (0.00109),0.9676 (0.00074),0.9292 (0.00111),0.9631 (0.00103),0.9628 (0.00105),0.9558 (0.00154),0.9699 (0.00107),0.9263 (0.00206)
n_estimators2000 max_depth5 min_samples_leaf5 min_samples_split3 bootstrapFalse,0.9704 (0.00078),0.9703 (0.00079),0.9655 (0.00101),0.9751 (0.00058),0.9409 (0.00156),0.9641 (0.00051),0.9640 (0.00053),0.9608 (0.00141),0.9672 (0.00096),0.9282 (0.00101),0.9626 (0.00056),0.9623 (0.00057),0.9553 (0.00106),0.9694 (0.00085),0.9252 (0.00111)
n_estimators2000 max_depth5 min_samples_leaf5 min_samples_split3 bootstrapTrue,0.9703 (0.00070),0.9702 (0.00071),0.9657 (0.00093),0.9748 (0.00066),0.9407 (0.00141),0.9646 (0.00053),0.9645 (0.00055),0.9615 (0.00117),0.9675 (0.00068),0.9292 (0.00105),0.9629 (0.00100),0.9627 (0.00102),0.9557 (0.00152),0.9697 (0.00103),0.9260 (0.00198)
n_estimators2000 max_depth5 min_samples_leaf5 min_samples_split5 bootstrapFalse,0.9704 (0.00078),0.9703 (0.00079),0.9655 (0.00101),0.9751 (0.00058),0.9409 (0.00156),0.9641 (0.00051),0.9640 (0.00053),0.9608 (0.00141),0.9672 (0.00096),0.9282 (0.00101),0.9626 (0.00056),0.9623 (0.00057),0.9553 (0.00106),0.9694 (0.00085),0.9252 (0.00111)
n_estimators2000 max_depth5 min_samples_leaf5 min_samples_split5 bootstrapTrue,0.9703 (0.00069),0.9702 (0.00069),0.9655 (0.00090),0.9748 (0.00069),0.9406 (0.00137),0.9646 (0.00059),0.9645 (0.00061),0.9613 (0.00126),0.9677 (0.00054),0.9292 (0.00117),0.9630 (0.00106),0.9628 (0.00108),0.9558 (0.00142),0.9699 (0.00118),0.9262 (0.00212)
n_estimators2000 max_depth8 min_samples_leaf1 min_samples_split2 bootstrapFalse,0.9903 (0.00055),0.9902 (0.00055),0.9864 (0.00078),0.9941 (0.00051),0.9806 (0.00110),0.9691 (0.00074),0.9691 (0.00072),0.9686 (0.00028),0.9695 (0.00142),0.9381 (0.00149),0.9687 (0.00024),0.9686 (0.00021),0.9655 (0.00120),0.9717 (0.00155),0.9374 (0.00050)
n_estimators2000 max_depth8 min_samples_leaf1 min_samples_split2 bootstrapTrue,0.9882 (0.00048),0.9882 (0.00048),0.9845 (0.00072),0.9918 (0.00038),0.9764 (0.00095),0.9694 (0.00078),0.9693 (0.00076),0.9691 (0.00062),0.9696 (0.00153),0.9387 (0.00155),0.9682 (0.00037),0.9681 (0.00036),0.9649 (0.00140),0.9713 (0.00155),0.9365 (0.00074)
n_estimators2000 max_depth8 min_samples_leaf1 min_samples_split3 bootstrapFalse,0.9903 (0.00044),0.9903 (0.00044),0.9865 (0.00085),0.9941 (0.00014),0.9806 (0.00087),0.9691 (0.00086),0.9691 (0.00083),0.9688 (0.00028),0.9694 (0.00166),0.9381 (0.00171),0.9688 (0.00044),0.9687 (0.00040),0.9658 (0.00143),0.9717 (0.00198),0.9377 (0.00089)
n_estimators2000 max_depth8 min_samples_leaf1 min_samples_split3 bootstrapTrue,0.9880 (0.00042),0.9879 (0.00043),0.9846 (0.00068),0.9913 (0.00031),0.9760 (0.00084),0.9694 (0.00095),0.9694 (0.00093),0.9693 (0.00070),0.9695 (0.00174),0.9388 (0.00190),0.9683 (0.00038),0.9682 (0.00038),0.9652 (0.00143),0.9711 (0.00138),0.9366 (0.00076)
n_estimators2000 max_depth8 min_samples_leaf1 min_samples_split5 bootstrapFalse,0.9901 (0.00043),0.9901 (0.00043),0.9863 (0.00088),0.9939 (0.00028),0.9803 (0.00085),0.9696 (0.00112),0.9696 (0.00110),0.9694 (0.00056),0.9698 (0.00168),0.9391 (0.00223),0.9683 (0.00049),0.9682 (0.00046),0.9653 (0.00074),0.9711 (0.00156),0.9366 (0.00099)
n_estimators2000 max_depth8 min_samples_leaf1 min_samples_split5 bootstrapTrue,0.9872 (0.00047),0.9871 (0.00047),0.9843 (0.00059),0.9900 (0.00077),0.9744 (0.00094),0.9693 (0.00068),0.9693 (0.00066),0.9693 (0.00065),0.9694 (0.00142),0.9387 (0.00136),0.9681 (0.00034),0.9680 (0.00034),0.9650 (0.00157),0.9710 (0.00160),0.9363 (0.00069)
n_estimators2000 max_depth8 min_samples_leaf2 min_samples_split2 bootstrapFalse,0.9895 (0.00058),0.9894 (0.00058),0.9860 (0.00097),0.9929 (0.00037),0.9790 (0.00115),0.9697 (0.00078),0.9697 (0.00077),0.9696 (0.00084),0.9698 (0.00144),0.9393 (0.00157),0.9686 (0.00019),0.9685 (0.00022),0.9656 (0.00186),0.9715 (0.00161),0.9373 (0.00036)
n_estimators2000 max_depth8 min_samples_leaf2 min_samples_split2 bootstrapTrue,0.9864 (0.00039),0.9863 (0.00039),0.9840 (0.00065),0.9887 (0.00072),0.9727 (0.00078),0.9692 (0.00081),0.9692 (0.00080),0.9692 (0.00060),0.9692 (0.00143),0.9384 (0.00163),0.9682 (0.00037),0.9681 (0.00038),0.9651 (0.00168),0.9711 (0.00153),0.9364 (0.00075)
n_estimators2000 max_depth8 min_samples_leaf2 min_samples_split3 bootstrapFalse,0.9895 (0.00058),0.9894 (0.00058),0.9860 (0.00097),0.9929 (0.00037),0.9790 (0.00115),0.9697 (0.00078),0.9697 (0.00077),0.9696 (0.00084),0.9698 (0.00144),0.9393 (0.00157),0.9686 (0.00019),0.9685 (0.00022),0.9656 (0.00186),0.9715 (0.00161),0.9373 (0.00036)
n_estimators2000 max_depth8 min_samples_leaf2 min_samples_split3 bootstrapTrue,0.9865 (0.00042),0.9864 (0.00043),0.9840 (0.00073),0.9888 (0.00072),0.9729 (0.00085),0.9693 (0.00089),0.9693 (0.00087),0.9694 (0.00077),0.9692 (0.00155),0.9385 (0.00178),0.9682 (0.00038),0.9682 (0.00038),0.9652 (0.00148),0.9711 (0.00149),0.9365 (0.00076)
n_estimators2000 max_depth8 min_samples_leaf2 min_samples_split5 bootstrapFalse,0.9893 (0.00063),0.9892 (0.00064),0.9859 (0.00101),0.9926 (0.00038),0.9786 (0.00126),0.9695 (0.00115),0.9695 (0.00113),0.9694 (0.00074),0.9696 (0.00190),0.9389 (0.00230),0.9686 (0.00014),0.9685 (0.00010),0.9657 (0.00129),0.9713 (0.00149),0.9372 (0.00029)
n_estimators2000 max_depth8 min_samples_leaf2 min_samples_split5 bootstrapTrue,0.9860 (0.00047),0.9860 (0.00047),0.9839 (0.00072),0.9881 (0.00077),0.9721 (0.00093),0.9695 (0.00095),0.9695 (0.00093),0.9694 (0.00067),0.9695 (0.00162),0.9389 (0.00190),0.9681 (0.00033),0.9680 (0.00034),0.9650 (0.00153),0.9710 (0.00137),0.9362 (0.00065)
n_estimators2000 max_depth8 min_samples_leaf5 min_samples_split2 bootstrapFalse,0.9863 (0.00086),0.9863 (0.00087),0.9843 (0.00141),0.9883 (0.00064),0.9727 (0.00172),0.9689 (0.00074),0.9689 (0.00074),0.9690 (0.00084),0.9688 (0.00099),0.9377 (0.00149),0.9684 (0.00032),0.9683 (0.00031),0.9651 (0.00146),0.9715 (0.00163),0.9368 (0.00065)
n_estimators2000 max_depth8 min_samples_leaf5 min_samples_split2 bootstrapTrue,0.9824 (0.00093),0.9824 (0.00093),0.9814 (0.00098),0.9833 (0.00134),0.9648 (0.00186),0.9686 (0.00080),0.9686 (0.00080),0.9685 (0.00102),0.9687 (0.00124),0.9372 (0.00161),0.9676 (0.00039),0.9675 (0.00041),0.9649 (0.00164),0.9702 (0.00135),0.9352 (0.00078)
n_estimators2000 max_depth8 min_samples_leaf5 min_samples_split3 bootstrapFalse,0.9863 (0.00086),0.9863 (0.00087),0.9843 (0.00141),0.9883 (0.00064),0.9727 (0.00172),0.9689 (0.00074),0.9689 (0.00074),0.9690 (0.00084),0.9688 (0.00099),0.9377 (0.00149),0.9684 (0.00032),0.9683 (0.00031),0.9651 (0.00146),0.9715 (0.00163),0.9368 (0.00065)
n_estimators2000 max_depth8 min_samples_leaf5 min_samples_split3 bootstrapTrue,0.9825 (0.00089),0.9825 (0.00088),0.9817 (0.00092),0.9833 (0.00142),0.9650 (0.00178),0.9686 (0.00080),0.9686 (0.00081),0.9686 (0.00122),0.9685 (0.00110),0.9371 (0.00161),0.9677 (0.00039),0.9676 (0.00040),0.9651 (0.00171),0.9702 (0.00153),0.9354 (0.00078)
n_estimators2000 max_depth8 min_samples_leaf5 min_samples_split5 bootstrapFalse,0.9863 (0.00086),0.9863 (0.00087),0.9843 (0.00141),0.9883 (0.00064),0.9727 (0.00172),0.9689 (0.00074),0.9689 (0.00074),0.9690 (0.00084),0.9688 (0.00099),0.9377 (0.00149),0.9684 (0.00032),0.9683 (0.00031),0.9651 (0.00146),0.9715 (0.00163),0.9368 (0.00065)
n_estimators2000 max_depth8 min_samples_leaf5 min_samples_split5 bootstrapTrue,0.9824 (0.00085),0.9824 (0.00084),0.9816 (0.00089),0.9832 (0.00135),0.9649 (0.00170),0.9686 (0.00090),0.9686 (0.00091),0.9687 (0.00130),0.9685 (0.00117),0.9372 (0.00181),0.9675 (0.00034),0.9674 (0.00035),0.9648 (0.00159),0.9701 (0.00150),0.9351 (0.00069)
n_estimators200 max_depth10 min_samples_leaf1 min_samples_split2 bootstrapFalse,0.9971 (0.00007),0.9971 (0.00007),0.9955 (0.00049),0.9987 (0.00037),0.9942 (0.00014),0.9699 (0.00184),0.9699 (0.00181),0.9704 (0.00123),0.9694 (0.00289),0.9397 (0.00367),0.9685 (0.00061),0.9685 (0.00058),0.9668 (0.00037),0.9702 (0.00153),0.9371 (0.00122)
n_estimators200 max_depth10 min_samples_leaf1 min_samples_split2 bootstrapTrue,0.9953 (0.00050),0.9952 (0.00050),0.9928 (0.00068),0.9977 (0.00054),0.9905 (0.00100),0.9703 (0.00155),0.9704 (0.00152),0.9713 (0.00130),0.9695 (0.00282),0.9407 (0.00309),0.9684 (0.00057),0.9684 (0.00057),0.9669 (0.00149),0.9699 (0.00140),0.9368 (0.00113)
n_estimators200 max_depth10 min_samples_leaf1 min_samples_split3 bootstrapFalse,0.9972 (0.00019),0.9972 (0.00019),0.9958 (0.00042),0.9986 (0.00028),0.9944 (0.00037),0.9700 (0.00166),0.9700 (0.00163),0.9708 (0.00097),0.9692 (0.00261),0.9399 (0.00331),0.9692 (0.00037),0.9692 (0.00040),0.9674 (0.00134),0.9710 (0.00068),0.9385 (0.00074)
n_estimators200 max_depth10 min_samples_leaf1 min_samples_split3 bootstrapTrue,0.9948 (0.00074),0.9948 (0.00074),0.9923 (0.00094),0.9974 (0.00067),0.9897 (0.00148),0.9704 (0.00132),0.9704 (0.00130),0.9711 (0.00151),0.9697 (0.00242),0.9408 (0.00264),0.9684 (0.00087),0.9683 (0.00087),0.9669 (0.00160),0.9698 (0.00173),0.9368 (0.00175)
n_estimators200 max_depth10 min_samples_leaf1 min_samples_split5 bootstrapFalse,0.9964 (0.00007),0.9964 (0.00007),0.9945 (0.00051),0.9982 (0.00042),0.9928 (0.00014),0.9708 (0.00152),0.9708 (0.00149),0.9718 (0.00074),0.9698 (0.00239),0.9415 (0.00304),0.9694 (0.00060),0.9693 (0.00061),0.9673 (0.00101),0.9713 (0.00076),0.9388 (0.00120)
n_estimators200 max_depth10 min_samples_leaf1 min_samples_split5 bootstrapTrue,0.9938 (0.00074),0.9938 (0.00075),0.9912 (0.00104),0.9964 (0.00064),0.9876 (0.00148),0.9704 (0.00130),0.9705 (0.00128),0.9716 (0.00134),0.9693 (0.00220),0.9409 (0.00260),0.9684 (0.00063),0.9684 (0.00064),0.9671 (0.00179),0.9697 (0.00141),0.9369 (0.00125)
n_estimators200 max_depth10 min_samples_leaf2 min_samples_split2 bootstrapFalse,0.9962 (0.00067),0.9962 (0.00067),0.9944 (0.00014),0.9979 (0.00127),0.9924 (0.00134),0.9704 (0.00078),0.9704 (0.00077),0.9718 (0.00028),0.9691 (0.00125),0.9407 (0.00156),0.9687 (0.00019),0.9687 (0.00020),0.9668 (0.00074),0.9706 (0.00047),0.9375 (0.00037)
n_estimators200 max_depth10 min_samples_leaf2 min_samples_split2 bootstrapTrue,0.9928 (0.00065),0.9928 (0.00065),0.9904 (0.00096),0.9951 (0.00056),0.9856 (0.00129),0.9702 (0.00147),0.9703 (0.00145),0.9715 (0.00167),0.9690 (0.00240),0.9404 (0.00293),0.9682 (0.00074),0.9682 (0.00074),0.9668 (0.00149),0.9695 (0.00161),0.9364 (0.00149)
n_estimators200 max_depth10 min_samples_leaf2 min_samples_split3 bootstrapFalse,0.9962 (0.00067),0.9962 (0.00067),0.9944 (0.00014),0.9979 (0.00127),0.9924 (0.00134),0.9704 (0.00078),0.9704 (0.00077),0.9718 (0.00028),0.9691 (0.00125),0.9407 (0.00156),0.9687 (0.00019),0.9687 (0.00020),0.9668 (0.00074),0.9706 (0.00047),0.9375 (0.00037)
n_estimators200 max_depth10 min_samples_leaf2 min_samples_split3 bootstrapTrue,0.9928 (0.00058),0.9928 (0.00059),0.9904 (0.00092),0.9951 (0.00063),0.9856 (0.00117),0.9699 (0.00145),0.9699 (0.00142),0.9709 (0.00135),0.9689 (0.00288),0.9398 (0.00290),0.9683 (0.00064),0.9682 (0.00063),0.9670 (0.00126),0.9695 (0.00140),0.9366 (0.00127)
n_estimators200 max_depth10 min_samples_leaf2 min_samples_split5 bootstrapFalse,0.9961 (0.00037),0.9961 (0.00037),0.9940 (0.00042),0.9982 (0.00042),0.9923 (0.00073),0.9707 (0.00092),0.9707 (0.00090),0.9710 (0.00149),0.9704 (0.00220),0.9413 (0.00184),0.9687 (0.00035),0.9687 (0.00037),0.9675 (0.00112),0.9699 (0.00070),0.9375 (0.00070)
n_estimators200 max_depth10 min_samples_leaf2 min_samples_split5 bootstrapTrue,0.9921 (0.00055),0.9921 (0.00055),0.9899 (0.00085),0.9943 (0.00059),0.9843 (0.00110),0.9698 (0.00145),0.9699 (0.00142),0.9712 (0.00135),0.9686 (0.00241),0.9397 (0.00289),0.9686 (0.00069),0.9685 (0.00070),0.9675 (0.00166),0.9695 (0.00143),0.9371 (0.00138)
n_estimators200 max_depth10 min_samples_leaf5 min_samples_split2 bootstrapFalse,0.9919 (0.00028),0.9919 (0.00028),0.9906 (0.00056),0.9932 (0.00056),0.9838 (0.00056),0.9693 (0.00136),0.9693 (0.00135),0.9712 (0.00123),0.9675 (0.00155),0.9386 (0.00271),0.9687 (0.00073),0.9686 (0.00073),0.9676 (0.00110),0.9697 (0.00134),0.9374 (0.00146)
n_estimators200 max_depth10 min_samples_leaf5 min_samples_split2 bootstrapTrue,0.9855 (0.00068),0.9855 (0.00069),0.9852 (0.00121),0.9858 (0.00108),0.9710 (0.00137),0.9691 (0.00148),0.9692 (0.00147),0.9709 (0.00161),0.9674 (0.00190),0.9383 (0.00295),0.9675 (0.00065),0.9675 (0.00066),0.9671 (0.00174),0.9679 (0.00146),0.9350 (0.00131)
n_estimators200 max_depth10 min_samples_leaf5 min_samples_split3 bootstrapFalse,0.9919 (0.00028),0.9919 (0.00028),0.9906 (0.00056),0.9932 (0.00056),0.9838 (0.00056),0.9693 (0.00136),0.9693 (0.00135),0.9712 (0.00123),0.9675 (0.00155),0.9386 (0.00271),0.9687 (0.00073),0.9686 (0.00073),0.9676 (0.00110),0.9697 (0.00134),0.9374 (0.00146)
n_estimators200 max_depth10 min_samples_leaf5 min_samples_split3 bootstrapTrue,0.9854 (0.00083),0.9854 (0.00083),0.9850 (0.00122),0.9858 (0.00117),0.9708 (0.00166),0.9692 (0.00136),0.9693 (0.00135),0.9711 (0.00154),0.9675 (0.00217),0.9385 (0.00273),0.9675 (0.00078),0.9675 (0.00079),0.9670 (0.00182),0.9680 (0.00154),0.9350 (0.00156)
n_estimators200 max_depth10 min_samples_leaf5 min_samples_split5 bootstrapFalse,0.9919 (0.00028),0.9919 (0.00028),0.9906 (0.00056),0.9932 (0.00056),0.9838 (0.00056),0.9693 (0.00136),0.9693 (0.00135),0.9712 (0.00123),0.9675 (0.00155),0.9386 (0.00271),0.9687 (0.00073),0.9686 (0.00073),0.9676 (0.00110),0.9697 (0.00134),0.9374 (0.00146)
n_estimators200 max_depth10 min_samples_leaf5 min_samples_split5 bootstrapTrue,0.9855 (0.00077),0.9855 (0.00077),0.9853 (0.00114),0.9858 (0.00116),0.9711 (0.00154),0.9690 (0.00126),0.9690 (0.00125),0.9707 (0.00156),0.9674 (0.00194),0.9380 (0.00252),0.9675 (0.00067),0.9675 (0.00067),0.9669 (0.00155),0.9681 (0.00156),0.9351 (0.00134)
n_estimators200 max_depth5 min_samples_leaf1 min_samples_split2 bootstrapFalse,0.9707 (0.00046),0.9705 (0.00047),0.9658 (0.00070),0.9753 (0.00026),0.9414 (0.00092),0.9630 (0.00049),0.9629 (0.00053),0.9590 (0.00149),0.9667 (0.00050),0.9260 (0.00096),0.9618 (0.00068),0.9615 (0.00068),0.9547 (0.00073),0.9685 (0.00066),0.9237 (0.00136)
n_estimators200 max_depth5 min_samples_leaf1 min_samples_split2 bootstrapTrue,0.9702 (0.00087),0.9701 (0.00087),0.9659 (0.00119),0.9743 (0.00111),0.9405 (0.00174),0.9636 (0.00081),0.9635 (0.00081),0.9609 (0.00125),0.9661 (0.00140),0.9272 (0.00163),0.9622 (0.00111),0.9619 (0.00111),0.9559 (0.00153),0.9681 (0.00182),0.9244 (0.00222)
n_estimators200 max_depth5 min_samples_leaf1 min_samples_split3 bootstrapFalse,0.9708 (0.00032),0.9706 (0.00034),0.9659 (0.00078),0.9754 (0.00026),0.9416 (0.00064),0.9632 (0.00074),0.9631 (0.00078),0.9594 (0.00176),0.9667 (0.00069),0.9264 (0.00148),0.9618 (0.00032),0.9615 (0.00031),0.9547 (0.00024),0.9685 (0.00063),0.9237 (0.00065)
n_estimators200 max_depth5 min_samples_leaf1 min_samples_split3 bootstrapTrue,0.9701 (0.00065),0.9699 (0.00065),0.9654 (0.00090),0.9745 (0.00090),0.9402 (0.00130),0.9636 (0.00072),0.9635 (0.00072),0.9610 (0.00125),0.9661 (0.00146),0.9273 (0.00145),0.9621 (0.00102),0.9618 (0.00103),0.9556 (0.00173),0.9682 (0.00159),0.9243 (0.00204)
n_estimators200 max_depth5 min_samples_leaf1 min_samples_split5 bootstrapFalse,0.9707 (0.00058),0.9706 (0.00059),0.9659 (0.00110),0.9753 (0.00041),0.9415 (0.00114),0.9633 (0.00064),0.9632 (0.00067),0.9594 (0.00129),0.9669 (0.00004),0.9266 (0.00128),0.9618 (0.00019),0.9615 (0.00019),0.9551 (0.00028),0.9680 (0.00014),0.9236 (0.00037)
n_estimators200 max_depth5 min_samples_leaf1 min_samples_split5 bootstrapTrue,0.9703 (0.00080),0.9701 (0.00080),0.9658 (0.00084),0.9746 (0.00108),0.9406 (0.00160),0.9638 (0.00082),0.9637 (0.00083),0.9611 (0.00148),0.9664 (0.00128),0.9277 (0.00165),0.9623 (0.00096),0.9621 (0.00096),0.9557 (0.00135),0.9685 (0.00140),0.9247 (0.00192)
n_estimators200 max_depth5 min_samples_leaf2 min_samples_split2 bootstrapFalse,0.9707 (0.00031),0.9705 (0.00032),0.9658 (0.00092),0.9753 (0.00046),0.9414 (0.00060),0.9630 (0.00073),0.9629 (0.00076),0.9592 (0.00157),0.9665 (0.00053),0.9260 (0.00145),0.9617 (0.00044),0.9614 (0.00045),0.9546 (0.00098),0.9683 (0.00082),0.9234 (0.00088)
n_estimators200 max_depth5 min_samples_leaf2 min_samples_split2 bootstrapTrue,0.9700 (0.00074),0.9699 (0.00075),0.9657 (0.00098),0.9741 (0.00103),0.9401 (0.00149),0.9637 (0.00075),0.9636 (0.00075),0.9612 (0.00128),0.9661 (0.00139),0.9275 (0.00150),0.9623 (0.00129),0.9620 (0.00129),0.9559 (0.00194),0.9682 (0.00198),0.9246 (0.00258)
n_estimators200 max_depth5 min_samples_leaf2 min_samples_split3 bootstrapFalse,0.9707 (0.00031),0.9705 (0.00032),0.9658 (0.00092),0.9753 (0.00046),0.9414 (0.00060),0.9630 (0.00073),0.9629 (0.00076),0.9592 (0.00157),0.9665 (0.00053),0.9260 (0.00145),0.9617 (0.00044),0.9614 (0.00045),0.9546 (0.00098),0.9683 (0.00082),0.9234 (0.00088)
n_estimators200 max_depth5 min_samples_leaf2 min_samples_split3 bootstrapTrue,0.9701 (0.00071),0.9700 (0.00071),0.9657 (0.00110),0.9743 (0.00099),0.9403 (0.00141),0.9634 (0.00083),0.9633 (0.00083),0.9607 (0.00138),0.9660 (0.00159),0.9269 (0.00167),0.9623 (0.00112),0.9621 (0.00112),0.9555 (0.00161),0.9687 (0.00180),0.9247 (0.00225)
n_estimators200 max_depth5 min_samples_leaf2 min_samples_split5 bootstrapFalse,0.9706 (0.00024),0.9705 (0.00026),0.9656 (0.00098),0.9754 (0.00058),0.9413 (0.00047),0.9629 (0.00037),0.9628 (0.00040),0.9592 (0.00113),0.9663 (0.00044),0.9258 (0.00073),0.9616 (0.00014),0.9613 (0.00017),0.9548 (0.00078),0.9680 (0.00047),0.9233 (0.00027)
n_estimators200 max_depth5 min_samples_leaf2 min_samples_split5 bootstrapTrue,0.9701 (0.00067),0.9700 (0.00067),0.9656 (0.00072),0.9744 (0.00106),0.9403 (0.00135),0.9637 (0.00076),0.9636 (0.00076),0.9613 (0.00150),0.9658 (0.00135),0.9273 (0.00151),0.9620 (0.00105),0.9617 (0.00106),0.9554 (0.00161),0.9681 (0.00150),0.9240 (0.00210)
n_estimators200 max_depth5 min_samples_leaf5 min_samples_split2 bootstrapFalse,0.9704 (0.00031),0.9702 (0.00032),0.9655 (0.00074),0.9750 (0.00023),0.9408 (0.00061),0.9629 (0.00037),0.9628 (0.00036),0.9596 (0.00101),0.9660 (0.00117),0.9258 (0.00075),0.9611 (0.00028),0.9609 (0.00029),0.9551 (0.00092),0.9668 (0.00083),0.9223 (0.00056)
n_estimators200 max_depth5 min_samples_leaf5 min_samples_split2 bootstrapTrue,0.9695 (0.00073),0.9694 (0.00074),0.9650 (0.00090),0.9738 (0.00105),0.9391 (0.00147),0.9636 (0.00086),0.9635 (0.00087),0.9608 (0.00143),0.9663 (0.00128),0.9273 (0.00173),0.9618 (0.00106),0.9616 (0.00105),0.9552 (0.00131),0.9681 (0.00170),0.9238 (0.00212)
n_estimators200 max_depth5 min_samples_leaf5 min_samples_split3 bootstrapFalse,0.9704 (0.00031),0.9702 (0.00032),0.9655 (0.00074),0.9750 (0.00023),0.9408 (0.00061),0.9629 (0.00037),0.9628 (0.00036),0.9596 (0.00101),0.9660 (0.00117),0.9258 (0.00075),0.9611 (0.00028),0.9609 (0.00029),0.9551 (0.00092),0.9668 (0.00083),0.9223 (0.00056)
n_estimators200 max_depth5 min_samples_leaf5 min_samples_split3 bootstrapTrue,0.9694 (0.00067),0.9692 (0.00068),0.9650 (0.00094),0.9735 (0.00099),0.9388 (0.00135),0.9635 (0.00081),0.9634 (0.00081),0.9610 (0.00138),0.9659 (0.00114),0.9270 (0.00161),0.9622 (0.00125),0.9619 (0.00125),0.9558 (0.00162),0.9681 (0.00187),0.9245 (0.00250)
n_estimators200 max_depth5 min_samples_leaf5 min_samples_split5 bootstrapFalse,0.9704 (0.00031),0.9702 (0.00032),0.9655 (0.00074),0.9750 (0.00023),0.9408 (0.00061),0.9629 (0.00037),0.9628 (0.00036),0.9596 (0.00101),0.9660 (0.00117),0.9258 (0.00075),0.9611 (0.00028),0.9609 (0.00029),0.9551 (0.00092),0.9668 (0.00083),0.9223 (0.00056)
n_estimators200 max_depth5 min_samples_leaf5 min_samples_split5 bootstrapTrue,0.9697 (0.00080),0.9695 (0.00080),0.9652 (0.00090),0.9739 (0.00114),0.9394 (0.00160),0.9635 (0.00061),0.9634 (0.00059),0.9611 (0.00111),0.9657 (0.00141),0.9270 (0.00122),0.9621 (0.00102),0.9619 (0.00103),0.9558 (0.00150),0.9680 (0.00153),0.9243 (0.00205)
n_estimators200 max_depth8 min_samples_leaf1 min_samples_split2 bootstrapFalse,0.9903 (0.00049),0.9902 (0.00050),0.9864 (0.00092),0.9941 (0.00014),0.9806 (0.00098),0.9690 (0.00106),0.9689 (0.00105),0.9682 (0.00074),0.9697 (0.00139),0.9379 (0.00212),0.9677 (0.00071),0.9676 (0.00074),0.9647 (0.00183),0.9706 (0.00106),0.9355 (0.00142)
n_estimators200 max_depth8 min_samples_leaf1 min_samples_split2 bootstrapTrue,0.9878 (0.00057),0.9878 (0.00058),0.9843 (0.00092),0.9913 (0.00073),0.9757 (0.00114),0.9691 (0.00109),0.9691 (0.00108),0.9689 (0.00105),0.9693 (0.00179),0.9381 (0.00219),0.9673 (0.00061),0.9672 (0.00061),0.9643 (0.00153),0.9701 (0.00161),0.9346 (0.00122)
